Individuals;Depth;Chr;Internal;External;Combined;Diverse
CA03_14;0.75;GGA1;0.9647138;0.9775452;0.9859487;0.9946758
CA19_13;0.05;GGA1;0.9784808;0.9897105;0.9925079;0.9960515
CA19_18;2.83;GGA1;0.9717926;0.9779531;0.9882468;0.9944652
CA24_01;0.5;GGA1;0.9726952;0.9816045;0.9897128;0.995153
CC19_18;1.25;GGA1;0.9692969;0.9809779;0.9891619;0.995
CA06_05;2.29;GGA1;0.9645765;0.9773883;0.9838381;0.993715
CA13_03;0.969;GGA1;0.9656584;0.9772059;0.9855899;0.9943069
CA21_09;0.28;GGA1;0.9728124;0.9824254;0.9901569;0.9954061
CB20_03;3.73;GGA1;0.9706661;0.9802461;0.9888139;0.9948754
CC09_13;1.64;GGA1;0.9707887;0.9793722;0.9892051;0.9949759
CC20_14;0.07;GGA1;0.9744018;0.9862573;0.9905041;0.9955276
CB07_06;1.86;GGA1;0.9633103;0.9757617;0.9842896;0.9938711
CA03_14;0.75;GGA7;0.9658619;0.9740533;0.9857238;0.994984
CA19_13;0.05;GGA7;0.9786951;0.9900499;0.9932002;0.9965436
CA19_18;2.83;GGA7;0.9749677;0.9791688;0.9908944;0.99527
CA24_01;0.5;GGA7;0.9740869;0.9805172;0.9908033;0.9953995
CC19_18;1.25;GGA7;0.9711764;0.9773453;0.9882815;0.9949678
CA06_05;2.29;GGA7;0.966498;0.9775924;0.9873746;0.9949921
CA13_03;0.969;GGA7;0.9712998;0.9799294;0.9874466;0.9953402
CA21_09;0.28;GGA7;0.9740635;0.9826646;0.990856;0.9957476
CB20_03;3.73;GGA7;0.9705041;0.9787801;0.9887302;0.9949489
CC09_13;1.64;GGA7;0.9717828;0.9795863;0.9896564;0.9953644
CC20_14;0.07;GGA7;0.975174;0.9857358;0.9920581;0.9962225
CB07_06;1.86;GGA7;0.9672597;0.9725705;0.9853711;0.9940315
CA03_14;0.75;GGA20;0.9671758;0.9742593;0.9846244;0.9919424
CA19_13;0.05;GGA20;0.9798848;0.9853489;0.9903227;0.9950829
CA19_18;2.83;GGA20;0.9758651;0.9772436;0.9896595;0.9954186
CA24_01;0.5;GGA20;0.9752483;0.9810568;0.9913174;0.9954886
CC19_18;1.25;GGA20;0.9751602;0.9807436;0.99012;0.9953627
CA06_05;2.29;GGA20;0.9660855;0.9763716;0.9819717;0.9927957
CA13_03;0.969;GGA20;0.9702319;0.9828129;0.9883946;0.9946143
CA21_09;0.28;GGA20;0.9796645;0.9842989;0.9922017;0.9957404
CB20_03;3.73;GGA20;0.9700447;0.9793497;0.98662;0.9933343
CC09_13;1.64;GGA20;0.9746977;0.9813761;0.9898867;0.9951109
CC20_14;0.07;GGA20;0.9756668;0.9849252;0.9914832;0.9954606
CB07_06;1.86;GGA20;0.9671703;0.9799761;0.9851831;0.9929775
