Individuals;Depth;Chr;Internal;External;Combined;Diverse
CA03_14;0.75;GGA1;0.8908242;0.9386018;0.9542884;0.9602671
CA19_18;2.83;GGA1;0.9582241;0.9637514;0.9740154;0.9754985
CA24_01;0.5;GGA1;0.9251891;0.9467477;0.9632312;0.9670972
CC19_18;1.25;GGA1;0.940287;0.9580566;0.9703462;0.972411
CA06_05;2.29;GGA1;0.9269565;0.9561121;0.9639767;0.9692274
CA13_03;0.969;GGA1;0.9045622;0.9465564;0.9618154;0.9665486
CA21_09;0.28;GGA1;0.8893575;0.921527;0.9464817;0.9512386
CB20_03;3.73;GGA1;0.9629327;0.9685719;0.9764323;0.9772616
CC09_13;1.64;GGA1;0.949985;0.9587531;0.9714598;0.9729005
CB07_06;1.86;GGA1;0.9212719;0.9496344;0.9618409;0.9671654
CA03_14;0.75;GGA7;0.8808267;0.9291489;0.9473308;0.9526271
CA19_18;2.83;GGA7;0.9691991;0.9634253;0.978125;0.9779754
CA24_01;0.5;GGA7;0.9321353;0.9368249;0.9620482;0.9659266
CC19_18;1.25;GGA7;0.9421141;0.949781;0.9681714;0.9717857
CA06_05;2.29;GGA7;0.9319986;0.9530973;0.9662273;0.9694515
CA13_03;0.969;GGA7;0.9133705;0.9485423;0.9616835;0.968039
CA21_09;0.28;GGA7;0.8726108;0.9183573;0.939954;0.9430357
CB20_03;3.73;GGA7;0.9641579;0.966698;0.9766866;0.9768239
CC09_13;1.64;GGA7;0.9405192;0.9576579;0.9712147;0.9725478
CB07_06;1.86;GGA7;0.9282294;0.9480691;0.962774;0.9666587
CA03_14;0.75;GGA20;0.8631429;0.9218154;0.9405554;0.9459095
CA19_18;2.83;GGA20;0.9635766;0.9654538;0.9768631;0.9767277
CA24_01;0.5;GGA20;0.9373719;0.9394442;0.968329;0.9682558
CC19_18;1.25;GGA20;0.9369766;0.9547142;0.9713419;0.9736415
CA06_05;2.29;GGA20;0.8982245;0.9480274;0.9586853;0.9648936
CA13_03;0.969;GGA20;0.8934948;0.9561216;0.9678067;0.9692757
CA21_09;0.28;GGA20;0.8971508;0.9207039;0.9548659;0.9565541
CB20_03;3.73;GGA20;0.9560183;0.9661801;0.9736862;0.975686
CC09_13;1.64;GGA20;0.9406414;0.9626835;0.9726751;0.973445
CB07_06;1.86;GGA20;0.9121793;0.9602805;0.9659628;0.9680698
