holo_food_id	ena_sample	ena_run	ena_experiment	project	omics
CA01.03F1a	ERS10991534	ERR9288560	ERX8830210	Chicken HostG	HostGenomics
CA01.09F1a	ERS10991538	ERR9286987	ERX8829092	Chicken HostG	HostGenomics
CA01.10F1a	ERS10991539	ERR9286249	ERX8828354	Chicken HostG	HostGenomics
CA01.15F1a	ERS10991542	ERR9287907	ERX8829557	Chicken HostG	HostGenomics
CA02.14F1a	ERS10991553	ERR9286159	ERX8828272	Chicken HostG	HostGenomics
CA02.15F1a	ERS10991555	ERR9353248	ERX8895181	Chicken HostG	HostGenomics
CA03.14F1a	ERS10991563	ERR9286230	ERX8828335	Chicken HostG	HostGenomics
CA04.01F1a	ERS10991567	ERR9287901	ERX8829551	Chicken HostG	HostGenomics
CA04.12F1a	ERS10991573	ERR9353297	ERX8895230	Chicken HostG	HostGenomics
CA04.14F1a	ERS10991576	ERR9288293	ERX8829943	Chicken HostG	HostGenomics
CA04.16F1a	ERS10991577	ERR9352814	ERX8894733	Chicken HostG	HostGenomics
CA05.03F1a	ERS10991579	ERR9353452	ERX8895385	Chicken HostG	HostGenomics
CA06.02F1a	ERS10991588	ERR9353243	ERX8895176	Chicken HostG	HostGenomics
CA06.05F1a	ERS10991589	ERR9286238	ERX8828343	Chicken HostG	HostGenomics
CA06.13F1a	ERS10991593	ERR9285399	ERX8827576	Chicken HostG	HostGenomics
CA06.15F1a	ERS10991594	ERR9285419	ERX8827596	Chicken HostG	HostGenomics
CA07.02F1a	ERS10991598	ERR9288543	ERX8830193	Chicken HostG	HostGenomics
CA07.09F1a	ERS10991602	ERR9353859	ERX8895792	Chicken HostG	HostGenomics
CA07.13F1a	ERS10991605	ERR9288573	ERX8830223	Chicken HostG	HostGenomics
CA08.08F1a	ERS10991610	ERR9286173	ERX8828286	Chicken HostG	HostGenomics
CA08.16F1a	ERS10991614	ERR9285599	ERX8827776	Chicken HostG	HostGenomics
CA09.01F1a	ERS10991617	ERR9353312	ERX8895245	Chicken HostG	HostGenomics
CA09.08F1a	ERS10991622	ERR9353857	ERX8895790	Chicken HostG	HostGenomics
CA10.03F1a	ERS10991627	ERR9354050	ERX8895983	Chicken HostG	HostGenomics
CA10.10F1a	ERS10991631	ERR9353996	ERX8895929	Chicken HostG	HostGenomics
CA10.12F1a	ERS10991633	ERR9286205	ERX8828310	Chicken HostG	HostGenomics
CA10.16F1a	ERS10991637	ERR9353229	ERX8895162	Chicken HostG	HostGenomics
CA11.02F1a	ERS10991640	ERR9353296	ERX8895229	Chicken HostG	HostGenomics
CA11.08F1a	ERS10991644	ERR9288356	ERX8830006	Chicken HostG	HostGenomics
CA11.18F1a	ERS10991652	ERR9288685	ERX8830335	Chicken HostG	HostGenomics
CA13.03F1a	ERS10991662	ERR9286162	ERX8828275	Chicken HostG	HostGenomics
CA13.06F1a	ERS10991665	ERR9356877	ERX8898779	Chicken HostG	HostGenomics
CA14.02F1a	ERS10991671	ERR9286256	ERX8828361	Chicken HostG	HostGenomics
CA14.09F1a	ERS10991677	ERR9353179	ERX8895112	Chicken HostG	HostGenomics
CA14.15F1a	ERS10991681	ERR9286938	ERX8829043	Chicken HostG	HostGenomics
CA15.01F1a	ERS10991684	ERR9288322	ERX8829972	Chicken HostG	HostGenomics
CA15.17F1a	ERS10991692	ERR9353464	ERX8895397	Chicken HostG	HostGenomics
CA16.02F1a	ERS10991694	ERR9353272	ERX8895205	Chicken HostG	HostGenomics
CA16.09F1a	ERS10991699	ERR9353283	ERX8895216	Chicken HostG	HostGenomics
CA16.13F1a	ERS10991702	ERR9353235	ERX8895168	Chicken HostG	HostGenomics
CA17.02F1a	ERS10991705	ERR9286248	ERX8828353	Chicken HostG	HostGenomics
CA17.03F1a	ERS10991707	ERR9288269	ERX8829919	Chicken HostG	HostGenomics
CA17.12F1a	ERS10991712	ERR9357021	ERX8898923	Chicken HostG	HostGenomics
CA17.14F1a	ERS10991713	ERR9286243	ERX8828348	Chicken HostG	HostGenomics
CA18.08F1a	ERS10991719	ERR9286279	ERX8828384	Chicken HostG	HostGenomics
CA19.01F1a	ERS10991726	ERR9353231	ERX8895164	Chicken HostG	HostGenomics
CA19.13F1a	ERS10991731	ERR9285426	ERX8827603	Chicken HostG	HostGenomics
CA19.15F1a	ERS10991734	ERR9353899	ERX8895832	Chicken HostG	HostGenomics
CA19.18F1a	ERS10991736	ERR9286242	ERX8828347	Chicken HostG	HostGenomics
CA20.09F1a	ERS10991741	ERR9353226	ERX8895159	Chicken HostG	HostGenomics
CA20.10F1a	ERS10991742	ERR9286241	ERX8828346	Chicken HostG	HostGenomics
CA20.13F1a	ERS10991745	ERR9353906	ERX8895839	Chicken HostG	HostGenomics
CA21.02F1a	ERS10991751	ERR9288519	ERX8830169	Chicken HostG	HostGenomics
CA21.09F1a	ERS10991754	ERR9285744	ERX8827857	Chicken HostG	HostGenomics
CA22.12F1a	ERS10991765	ERR9285408	ERX8827585	Chicken HostG	HostGenomics
CA23.01F1a	ERS10991772	ERR9354057	ERX8895990	Chicken HostG	HostGenomics
CA23.02F1a	ERS10991774	ERR9288366	ERX8830016	Chicken HostG	HostGenomics
CA23.10F1a	ERS10991777	ERR9286234	ERX8828339	Chicken HostG	HostGenomics
CA23.15F1a	ERS10991782	ERR9288345	ERX8829995	Chicken HostG	HostGenomics
CA24.01F1a	ERS10991785	ERR9286244	ERX8828349	Chicken HostG	HostGenomics
CA24.09F1a	ERS10991789	ERR9353280	ERX8895213	Chicken HostG	HostGenomics
CA24.16F1a	ERS10991794	ERR9356991	ERX8898893	Chicken HostG	HostGenomics
CB01.05F1a	ERS10991796	ERR9286277	ERX8828382	Chicken HostG	HostGenomics
CB01.09F1a	ERS10991798	ERR9288569	ERX8830219	Chicken HostG	HostGenomics
